exercise_name	pre_exer	post_exer	muscle	difficulty
Row	Incline Row	Wide Row	Back	Easy
Bridge	Head Bridge	Reverse Plank	Core	Easy
Pike Skin the Cat	Tuck Skin the Cat	Advanced Tuck Skin the Cat	Shoulders	Easy
Advanced Tuck Skin the Cat	Pike Skin the Cat	Tuck Back Lever	Shoulders	Easy
Scapular Shrug 	Arch Hang	Ring L-Sit Pull Up	Shoulders	Easy
Dip	Sup Hold	L-Sit Dip	Tricep	Easy
L-Sit Dip	Dip	L-Sit	Tricep	Easy
Push Up	Knee Push Up	Diamond Push Up	Tricep	Easy
Diamond Push Up	Push Up	Archer Push Up	Tricep	Easy
Wide Row	Row	Archer Row	Back	Medium
Front Lever	Straddle Front Lever	One Leg Front Lever	Core	Medium
Reverse Plank	Bridge	OA Bridge	Core	Medium
One Leg Front Lever	Front Lever	Back Lever	Core	Medium
Shrimp Squat	Two Hand Shrimp Squat	Elevated Two Hand Shrimp Squat	Legs	Medium
Elevated Two Hand Shrimp Squat	Shrimp Squat	Nordic Curl	Legs	Medium
Muscle Up	Wide Muscle Up	L-Sit Muscle Up	Shoulders	Medium
L-Sit Muscle Up	Muscle Up	Wide Muscle Up	Shoulders	Medium
RTO L-Sit	45 Degree L-Sit	90 Degree L-Sit	Shoulders	Medium
Archer Push Up	RTO Push Up	Str Planche PU	Tricep	Medium
Planche	One Leg Planche	Planche Push Up	Bicep	Hard
Planche Push Up	Planche	Ring Planche Push Up	Bicep	Hard
Ring Straddle	Ring One Leg PL	Ring Half Straddle	Core	Hard
Dragon Press	One Arm Dragon Press	One Arm Dragon Flag	Core	Hard
Ring Half Straddle	Ring Straddle	Ring One Leg	Core	Hard
One Arm Dragon Flag	Dragon Press	One Arm Dragon Press	Core	Hard
Str Planche PU	OL Planche PU	Ring OL Planche Push Up	Tricep	Hard
Ring OL Planche Push Up	Planche Push Up	Ring Planche Push Up	Bicep	Hard
